DateAndTime            ,Date            ,Time        ,BOSCH_2_Running         ,BOSCH_2_Waiting_Upstream,BOSCH_2_Speed           ,BOSCH_2_Downstream_Waiting,BOSCH_2_Running         ,BOSCH_2_Manual_Stop_Time,Bosch_02_out            
-----------------------,----------------,------------,------------------------,------------------------,------------------------,--------------------------,------------------------,------------------------,------------------------
2022-11-16 11:32:26.000,      2022-11-16,11:32:26    ,                     0.0,                     0.0,                     0.0,                       1.0,                     0.0,                     0.0,                 48497.0
2022-11-16 11:31:26.000,      2022-11-16,11:31:26    ,                     0.0,                     0.0,                   205.0,                       1.0,                     0.0,                     0.0,                 48494.0
2022-11-16 11:30:26.000,      2022-11-16,11:30:26    ,                     1.0,                     0.0,                   184.0,                       0.0,                     1.0,                     0.0,                 48268.0
2022-11-16 11:29:26.000,      2022-11-16,11:29:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 48039.0
2022-11-16 11:28:26.000,      2022-11-16,11:28:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 47811.0
2022-11-16 11:27:26.000,      2022-11-16,11:27:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 47584.0
2022-11-16 11:26:26.000,      2022-11-16,11:26:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 47366.0
2022-11-16 11:25:26.000,      2022-11-16,11:25:26    ,                     1.0,                     1.0,                     0.0,                       0.0,                     1.0,                     0.0,                 47202.0
2022-11-16 11:24:26.000,      2022-11-16,11:24:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 47144.0
2022-11-16 11:23:26.000,      2022-11-16,11:23:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 46921.0
2022-11-16 11:22:26.000,      2022-11-16,11:22:26    ,                     0.0,                     0.0,                     0.0,                       1.0,                     0.0,                     1.0,                 46852.0
2022-11-16 11:21:26.000,      2022-11-16,11:21:26    ,                     1.0,                     0.0,                   246.0,                       0.0,                     1.0,                     0.0,                 46720.0
2022-11-16 11:20:26.000,      2022-11-16,11:20:26    ,                     1.0,                     0.0,                   203.0,                       0.0,                     1.0,                     0.0,                 46495.0
2022-11-16 11:19:26.000,      2022-11-16,11:19:26    ,                     1.0,                     0.0,                   198.0,                       0.0,                     1.0,                     0.0,                 46271.0
2022-11-16 11:18:26.000,      2022-11-16,11:18:26    ,                     0.0,                     0.0,                     0.0,                       1.0,                     0.0,                     0.0,                 46130.0
2022-11-16 11:17:26.000,      2022-11-16,11:17:26    ,                     1.0,                     1.0,                   240.0,                       0.0,                     1.0,                     0.0,                 46123.0
2022-11-16 11:16:26.000,      2022-11-16,11:16:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 45982.0
2022-11-16 11:15:26.000,      2022-11-16,11:15:26    ,                     1.0,                     0.0,                   216.0,                       0.0,                     1.0,                     0.0,                 45797.0
2022-11-16 11:14:26.000,      2022-11-16,11:14:26    ,                     1.0,                     0.0,                    71.0,                       0.0,                     1.0,                     0.0,                 45672.0
2022-11-16 11:13:26.000,      2022-11-16,11:13:26    ,                     0.0,                     0.0,                     0.0,                       1.0,                     0.0,                     0.0,                 45537.0
2022-11-16 11:12:26.000,      2022-11-16,11:12:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 45390.0
2022-11-16 11:11:26.000,      2022-11-16,11:11:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 45244.0
2022-11-16 11:10:26.000,      2022-11-16,11:10:26    ,                     1.0,                     1.0,                     0.0,                       0.0,                     1.0,                     0.0,                 45099.0
2022-11-16 11:09:26.000,      2022-11-16,11:09:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 44947.0
2022-11-16 11:08:26.000,      2022-11-16,11:08:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 44725.0
2022-11-16 11:07:26.000,      2022-11-16,11:07:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 44498.0
2022-11-16 11:06:26.000,      2022-11-16,11:06:26    ,                     0.0,                     0.0,                     0.0,                       1.0,                     0.0,                     1.0,                 44379.0
2022-11-16 11:05:26.000,      2022-11-16,11:05:26    ,                     1.0,                     1.0,                   240.0,                       0.0,                     1.0,                     0.0,                 44316.0
2022-11-16 11:04:26.000,      2022-11-16,11:04:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 44084.0
2022-11-16 11:03:26.000,      2022-11-16,11:03:26    ,                     0.0,                     0.0,                     6.0,                       1.0,                     0.0,                     0.0,                 43882.0
2022-11-16 11:02:26.000,      2022-11-16,11:02:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 43807.0
2022-11-16 11:01:26.000,      2022-11-16,11:01:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 43582.0
2022-11-16 11:00:26.000,      2022-11-16,11:00:26    ,                     0.0,                     0.0,                     0.0,                       0.0,                     0.0,                     0.0,                 43408.0
2022-11-16 10:59:26.000,      2022-11-16,10:59:26    ,                     1.0,                     0.0,                   240.0,                       0.0,                     1.0,                     0.0,                 43339.0
