DateAndTime            ,Date            ,Time        ,Stamper_Downstream_01_Stop,Stamper_Downstream_02_Stop,Stamper_Waiting_For_Upstream,Stamper_Present_Speed   ,Stamper_In_Run_mode     ,Stamper_Stop_By_Push_Button,Stamper_Under_Fault     ,stamper_output          
-----------------------,----------------,------------,--------------------------,--------------------------,----------------------------,------------------------,------------------------,---------------------------,------------------------,------------------------
2022-11-16 11:32:26.000,      2022-11-16,11:32:26    ,                       0.0,                       0.0,                         0.0,                   468.0,                     1.0,                        0.0,                     0.0,                 97157.0
2022-11-16 11:31:26.000,      2022-11-16,11:31:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 96930.0
2022-11-16 11:30:26.000,      2022-11-16,11:30:26    ,                       0.0,                       1.0,                         0.0,                   470.0,                     1.0,                        0.0,                     0.0,                 96490.0
2022-11-16 11:29:26.000,      2022-11-16,11:29:26    ,                       0.0,                       1.0,                         0.0,                   470.0,                     1.0,                        0.0,                     0.0,                 96134.0
2022-11-16 11:28:26.000,      2022-11-16,11:28:26    ,                       0.0,                       1.0,                         0.0,                   470.0,                     1.0,                        0.0,                     0.0,                 95829.0
2022-11-16 11:27:26.000,      2022-11-16,11:27:26    ,                       0.0,                       1.0,                         0.0,                   467.0,                     1.0,                        0.0,                     0.0,                 95375.0
2022-11-16 11:26:26.000,      2022-11-16,11:26:26    ,                       0.0,                       1.0,                         0.0,                   468.0,                     1.0,                        0.0,                     0.0,                 94941.0
2022-11-16 11:25:26.000,      2022-11-16,11:25:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 94544.0
2022-11-16 11:24:26.000,      2022-11-16,11:24:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 94513.0
2022-11-16 11:23:26.000,      2022-11-16,11:23:26    ,                       0.0,                       1.0,                         0.0,                   470.0,                     1.0,                        0.0,                     0.0,                 94108.0
2022-11-16 11:22:26.000,      2022-11-16,11:22:26    ,                       0.0,                       0.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 93819.0
2022-11-16 11:21:26.000,      2022-11-16,11:21:26    ,                       0.0,                       1.0,                         0.0,                   468.0,                     1.0,                        0.0,                     0.0,                 93444.0
2022-11-16 11:20:26.000,      2022-11-16,11:20:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 93088.0
2022-11-16 11:19:26.000,      2022-11-16,11:19:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 92691.0
2022-11-16 11:18:26.000,      2022-11-16,11:18:26    ,                       0.0,                       0.0,                         0.0,                   468.0,                     1.0,                        0.0,                     0.0,                 92461.0
2022-11-16 11:17:26.000,      2022-11-16,11:17:26    ,                       0.0,                       1.0,                         0.0,                   470.0,                     1.0,                        0.0,                     0.0,                 92186.0
2022-11-16 11:16:26.000,      2022-11-16,11:16:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 91975.0
2022-11-16 11:15:26.000,      2022-11-16,11:15:26    ,                       0.0,                       1.0,                         0.0,                   468.0,                     1.0,                        0.0,                     0.0,                 91795.0
2022-11-16 11:14:26.000,      2022-11-16,11:14:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 91592.0
2022-11-16 11:13:26.000,      2022-11-16,11:13:26    ,                       0.0,                       0.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 91357.0
2022-11-16 11:12:26.000,      2022-11-16,11:12:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 91053.0
2022-11-16 11:11:26.000,      2022-11-16,11:11:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 90794.0
2022-11-16 11:10:26.000,      2022-11-16,11:10:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 90550.0
2022-11-16 11:09:26.000,      2022-11-16,11:09:26    ,                       0.0,                       1.0,                         0.0,                   468.0,                     1.0,                        0.0,                     0.0,                 90379.0
2022-11-16 11:08:26.000,      2022-11-16,11:08:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 89939.0
2022-11-16 11:07:26.000,      2022-11-16,11:07:26    ,                       0.0,                       1.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 89495.0
2022-11-16 11:06:26.000,      2022-11-16,11:06:26    ,                       0.0,                       0.0,                         0.0,                   469.0,                     1.0,                        0.0,                     0.0,                 89171.0
