DateAndTime            ,Date            ,Time        ,TOTAL_FBC               
-----------------------,----------------,------------,------------------------
2022-11-16 11:32:26.000,      2022-11-16,11:32:26    ,                  1154.0
2022-11-16 11:31:26.000,      2022-11-16,11:31:26    ,                  1152.0
2022-11-16 11:30:26.000,      2022-11-16,11:30:26    ,                  1146.0
2022-11-16 11:29:26.000,      2022-11-16,11:29:26    ,                  1144.0
2022-11-16 11:28:26.000,      2022-11-16,11:28:26    ,                  1139.0
2022-11-16 11:27:26.000,      2022-11-16,11:27:26    ,                  1133.0
2022-11-16 11:26:26.000,      2022-11-16,11:26:26    ,                  1129.0
2022-11-16 11:25:26.000,      2022-11-16,11:25:26    ,                  1127.0
2022-11-16 11:24:26.000,      2022-11-16,11:24:26    ,                  1124.0
2022-11-16 11:23:26.000,      2022-11-16,11:23:26    ,                  1119.0
2022-11-16 11:22:26.000,      2022-11-16,11:22:26    ,                  1116.0
2022-11-16 11:21:26.000,      2022-11-16,11:21:26    ,                  1112.0
2022-11-16 11:20:26.000,      2022-11-16,11:20:26    ,                  1108.0
2022-11-16 11:19:26.000,      2022-11-16,11:19:26    ,                  1103.0
2022-11-16 11:18:26.000,      2022-11-16,11:18:26    ,                  1100.0
2022-11-16 11:17:26.000,      2022-11-16,11:17:26    ,                  1097.0
2022-11-16 11:16:26.000,      2022-11-16,11:16:26    ,                  1096.0
2022-11-16 11:15:26.000,      2022-11-16,11:15:26    ,                  1094.0
2022-11-16 11:14:26.000,      2022-11-16,11:14:26    ,                  1092.0
2022-11-16 11:13:26.000,      2022-11-16,11:13:26    ,                  1089.0
2022-11-16 11:12:26.000,      2022-11-16,11:12:26    ,                  1085.0
2022-11-16 11:11:26.000,      2022-11-16,11:11:26    ,                  1082.0
2022-11-16 11:10:26.000,      2022-11-16,11:10:26    ,                  1079.0
2022-11-16 11:09:26.000,      2022-11-16,11:09:26    ,                  1075.0
2022-11-16 11:08:26.000,      2022-11-16,11:08:26    ,                  1071.0
2022-11-16 11:07:26.000,      2022-11-16,11:07:26    ,                  1065.0
2022-11-16 11:06:26.000,      2022-11-16,11:06:26    ,                  1061.0
2022-11-16 11:05:26.000,      2022-11-16,11:05:26    ,                  1059.0
2022-11-16 11:04:26.000,      2022-11-16,11:04:26    ,                  1054.0
2022-11-16 11:03:26.000,      2022-11-16,11:03:26    ,                  1050.0
2022-11-16 11:02:26.000,      2022-11-16,11:02:26    ,                  1046.0
2022-11-16 11:01:26.000,      2022-11-16,11:01:26    ,                  1041.0
2022-11-16 11:00:26.000,      2022-11-16,11:00:26    ,                  1038.0
2022-11-16 10:59:26.000,      2022-11-16,10:59:26    ,                  1035.0
2022-11-16 10:58:26.000,      2022-11-16,10:58:26    ,                  1029.0
2022-11-16 10:57:26.000,      2022-11-16,10:57:26    ,                  1024.0
2022-11-16 10:56:26.000,      2022-11-16,10:56:26    ,                  1021.0
2022-11-16 10:55:26.000,      2022-11-16,10:55:26    ,                  1015.0
2022-11-16 10:54:26.000,      2022-11-16,10:54:26    ,                  1013.0
2022-11-16 10:53:26.000,      2022-11-16,10:53:26    ,                  1007.0
2022-11-16 10:52:26.000,      2022-11-16,10:52:26    ,                  1002.0
2022-11-16 10:51:26.000,      2022-11-16,10:51:26    ,                   999.0
2022-11-16 10:50:26.000,      2022-11-16,10:50:26    ,                   996.0
2022-11-16 10:49:26.000,      2022-11-16,10:49:26    ,                   993.0
2022-11-16 10:48:26.000,      2022-11-16,10:48:26    ,                   989.0
2022-11-16 10:47:26.000,      2022-11-16,10:47:26    ,                   984.0
2022-11-16 10:46:26.000,      2022-11-16,10:46:26    ,                   979.0
2022-11-16 10:45:26.000,      2022-11-16,10:45:26    ,                   974.0
2022-11-16 10:44:26.000,      2022-11-16,10:44:26    ,                   970.0
2022-11-16 10:43:26.000,      2022-11-16,10:43:26    ,                   967.0
2022-11-16 10:42:26.000,      2022-11-16,10:42:26    ,                   964.0
2022-11-16 10:41:26.000,      2022-11-16,10:41:26    ,                   963.0
2022-11-16 10:40:26.000,      2022-11-16,10:40:26    ,                   960.0
2022-11-16 10:39:26.000,      2022-11-16,10:39:26    ,                   956.0
2022-11-16 10:38:26.000,      2022-11-16,10:38:26    ,                   956.0
2022-11-16 10:37:26.000,      2022-11-16,10:37:26    ,                   954.0
2022-11-16 10:36:26.000,      2022-11-16,10:36:26    ,                   949.0
2022-11-16 10:35:26.000,      2022-11-16,10:35:26    ,                   945.0
2022-11-16 10:34:26.000,      2022-11-16,10:34:26    ,                   939.0
2022-11-16 10:33:26.000,      2022-11-16,10:33:26    ,                   935.0
2022-11-16 10:32:26.000,      2022-11-16,10:32:26    ,                   931.0
2022-11-16 10:31:26.000,      2022-11-16,10:31:26    ,                   926.0
2022-11-16 10:30:26.000,      2022-11-16,10:30:26    ,                   922.0
2022-11-16 10:29:26.000,      2022-11-16,10:29:26    ,                   917.0
2022-11-16 10:28:26.000,      2022-11-16,10:28:26    ,                   911.0
2022-11-16 10:27:26.000,      2022-11-16,10:27:26    ,                   906.0
2022-11-16 10:26:26.000,      2022-11-16,10:26:26    ,                   901.0
2022-11-16 10:25:26.000,      2022-11-16,10:25:26    ,                   900.0
2022-11-16 10:24:26.000,      2022-11-16,10:24:26    ,                   896.0
2022-11-16 10:23:26.000,      2022-11-16,10:23:26    ,                   891.0
2022-11-16 10:22:26.000,      2022-11-16,10:22:26    ,                   887.0
2022-11-16 10:21:26.000,      2022-11-16,10:21:26    ,                   881.0
2022-11-16 10:20:26.000,      2022-11-16,10:20:26    ,                   876.0
2022-11-16 10:19:26.000,      2022-11-16,10:19:26    ,                   871.0
2022-11-16 10:18:26.000,      2022-11-16,10:18:26    ,                   867.0
2022-11-16 10:17:26.000,      2022-11-16,10:17:26    ,                   865.0
2022-11-16 10:16:26.000,      2022-11-16,10:16:26    ,                   859.0
2022-11-16 10:15:26.000,      2022-11-16,10:15:26    ,                   853.0
2022-11-16 10:14:26.000,      2022-11-16,10:14:26    ,                   851.0
2022-11-16 10:13:26.000,      2022-11-16,10:13:26    ,                   849.0
2022-11-16 10:12:26.000,      2022-11-16,10:12:26    ,                   846.0
